,VOC,JSC,FF,PCE
1759,800.0,11.6,0.71,6.6
1764,540.0,4.73,0.71,1.81
1765,540.0,3.13,0.73,1.25
1768,750.0,10.6,0.66,5.25
1769,644.0,6.9,0.68,3.02
1770,637.0,10.4,0.71,4.7
1772,860.0,10.8,0.66,6.13
1778,534.0,13.16,0.66,4.64
1779,520.0,12.94,0.67,4.59
1780,550.0,15.03,0.63,5.3
1782,650.0,7.08,0.7,3.21
1783,660.0,13.39,0.6,5.33
1784,410.0,9.37,0.68,2.61
1785,661.0,11.74,0.764,5.93
1786,664.0,13.38,0.736,6.54
1787,673.0,13.56,0.745,6.8
1789,689.0,2.19,0.64,0.97
1792,662.0,4.1,0.695,1.89
1793,541.0,5.45,0.67,1.99
1796,612.0,5.51,0.6674,2.25
1798,900.0,9.5,0.7,5.99
1802,690.0,8.92,0.77,4.78
1805,610.0,12.7,0.598,4.63
1806,590.0,5.06,0.561,1.67
1811,728.0,11.19,0.76,6.18
1812,733.0,13.79,0.75,7.54
1818,712.0,3.48,0.57,1.66
1819,743.0,16.76,0.68,8.48
1821,695.0,13.95,0.65,6.34
1822,722.0,12.95,0.69,6.44
1823,698.0,10.68,0.69,5.15
1825,705.0,6.88,64.74,3.15
1827,746.0,8.96,56.82,3.8
1829,509.0,2.63,60.87,0.82
1830,607.0,7.46,69.1,3.26
1831,730.0,12.28,60.43,5.41
1834,690.0,12.3,0.738,6.3
1841,740.0,15.33,0.66,7.43
1842,670.0,12.66,0.65,5.49
1843,522.0,8.57,0.52,2.3
1844,526.0,6.83,0.5,1.8
1848,546.0,10.44,0.66,3.77
1850,517.0,3.21,0.69,1.15
1852,777.0,13.35,0.749,7.8
1855,708.0,5.54,0.788,3.09
1856,726.0,8.78,0.807,5.14
1858,775.0,11.88,0.747,6.88
1860,744.3,14.32,0.72,7.67
1861,810.0,9.22,0.6,4.49
1864,740.0,8.9,0.7,4.41
1870,660.0,11.91,0.69,5.39
1871,832.0,1.67,0.622,1.02
1872,545.0,2.15,0.4093,0.56
1873,612.0,7.01,0.627,3.16
1874,587.0,7.36,0.69,3.0
1875,618.0,2.6,0.6,1.12
1877,686.0,15.05,64.53,6.66
1878,662.0,16.88,64.03,7.16
1879,629.0,15.37,64.02,6.19
1884,650.0,11.48,0.7,5.15
1888,115.0,2.7,0.36,0.113
1890,781.0,13.3,0.72,7.14
1893,660.0,13.44,0.6,5.37
1897,660.0,12.83,0.64,5.36
1898,660.0,12.56,0.63,5.28
1900,830.0,14.61,0.6901,8.37
1901,797.0,14.39,0.7027,8.06
1902,680.0,10.3,0.62,4.37
1906,650.0,11.43,0.62,4.58
1907,650.0,13.86,0.57,5.14
1908,690.0,15.36,0.5,5.25
1910,660.0,13.07,0.65,5.55
1911,320.0,0.78,0.41,0.102
1912,838.0,12.52,0.6768,7.1
1913,680.0,11.24,0.6,4.6
1914,740.0,16.81,0.57,7.08
1915,710.0,14.28,0.6,6.12
1916,580.0,11.88,0.54,3.74
1917,766.0,11.7,0.756,6.78
1919,642.0,10.6,0.714,4.86
1920,608.0,10.05,0.736,4.5
1921,720.0,12.96,0.753,7.03
1922,677.0,13.37,0.753,6.82
1923,648.0,8.15,0.744,3.93
1924,599.0,13.07,0.723,5.66
1925,702.0,10.39,0.785,5.73
1926,694.0,7.72,0.803,4.3
1927,726.0,8.78,0.807,5.14
1928,766.0,11.7,0.756,6.78
1929,670.0,7.13,0.71,3.4
1930,770.0,11.25,0.76,6.6
1931,571.0,10.4,0.69,4.11
1933,605.0,5.46,0.7,2.3
1934,603.0,8.73,0.69,3.6
1935,640.0,0.82,0.58,0.3
1937,740.0,2.63,0.61,1.19
1938,630.0,2.55,0.6,0.96
1941,662.0,7.9,0.728,3.8
1944,681.0,11.3,0.732,5.6
1945,660.0,8.6,0.727,4.2
1948,700.0,6.37,0.74,3.31
1949,710.0,7.52,0.75,4.01
1950,750.0,14.0,0.77,8.01
1951,640.0,8.23,0.6,3.1
1952,680.0,10.77,0.63,4.6
1953,690.0,14.33,0.56,5.6
1954,680.0,12.55,0.63,5.4
1955,670.0,13.97,0.62,5.8
1956,610.0,12.66,0.56,4.4
1957,640.0,13.7,0.56,4.9
1958,650.0,14.6,0.66,6.2
1960,690.0,13.1,0.65,5.89
1961,680.0,13.2,0.67,6.01
1962,625.0,6.85,0.7,2.98
1963,764.0,12.2,0.77,7.2
1964,753.0,14.0,0.77,8.01
1965,672.0,11.9,0.731,5.9
1966,650.0,10.99,0.69,4.92
1971,845.0,12.3,0.68,7.06
1972,830.0,12.0,0.68,6.77
1974,650.0,12.3,0.68,5.43
1975,465.0,14.32,0.66,4.37
1976,500.0,13.08,0.69,4.54
1977,405.0,11.86,0.65,3.13
1978,640.0,11.04,0.749,5.29
1979,660.0,10.2,0.698,4.7
1980,620.0,10.44,0.649,4.2
1981,650.0,12.69,0.707,5.83
1982,494.0,5.8,0.7,2.0
1983,497.0,4.54,0.69,1.6
1984,509.0,9.3,0.68,3.2
1985,870.0,14.3,0.67,8.33
1986,780.0,12.5,0.67,6.52
1987,830.0,13.9,0.66,7.61
1988,839.0,13.5,0.66,7.47
1989,830.0,13.0,0.66,7.12
1990,855.0,15.0,0.67,8.59
1991,900.0,12.0,0.69,7.2
1992,920.0,15.5,0.68,9.69
1994,660.0,11.69,0.67,5.15
2000,670.0,11.04,0.65,4.83
2003,710.0,11.29,0.65,5.22
2008,700.0,10.75,0.67,5.04
2010,620.0,11.77,0.68,4.96
2013,680.0,6.8,0.72,3.33
2014,367.0,11.23,0.64,2.63
2015,432.0,12.0,0.69,3.58
2016,462.0,14.19,0.64,4.2
2017,762.0,10.6,0.75,6.1
2018,619.0,14.3,0.587,5.19
2019,610.0,8.89,0.67,3.62
2020,741.0,11.4,0.74,6.2
2025,640.0,6.4,0.72,2.93
2027,609.0,7.3,0.64,2.86
2028,656.0,7.1,0.65,3.01
2029,652.0,11.5,0.64,4.82
2032,720.0,12.9,0.53,4.9
2033,630.0,11.9,0.57,4.3
2034,680.0,12.0,0.64,5.2
2038,750.0,8.22,0.65,4.0
2039,660.0,12.96,0.68,5.78
2040,630.0,13.38,0.7,5.86
2041,565.0,11.71,0.71,4.71
2043,706.0,10.52,0.74,5.48
2044,728.0,10.51,0.73,5.55
2045,731.0,10.65,0.6818,5.31
2046,758.0,9.4,0.6645,4.7
2048,770.0,10.41,0.78,6.24
2053,450.0,1.77,0.7,0.56
2056,690.0,12.48,0.73,6.29
2057,710.0,14.86,0.75,7.91
2058,730.0,7.19,0.67,3.52
2059,700.0,8.88,0.66,4.1
2060,700.0,10.89,0.67,5.12
2062,770.0,8.5,0.65,4.25
2064,734.0,14.33,0.76,8.0
2067,788.0,11.87,0.68,8.04
2072,770.0,12.41,0.5719,5.44
2073,670.0,13.5,0.72,6.67
2074,640.0,9.21,0.68,4.01
2081,695.0,12.21,0.72,6.15
2084,867.0,15.3,0.68,9.02
2085,760.0,7.97,0.71,4.3
2086,830.0,13.0,0.69,7.44
2087,883.0,12.8,0.67,7.57
2091,827.0,14.8,0.68,8.32
2095,648.0,9.49,0.66,4.03
2096,651.0,12.97,0.65,5.49
2097,667.0,16.73,0.65,7.23
2104,640.0,7.4,0.71,3.34
2105,610.0,7.1,0.59,2.6
2106,660.0,11.19,0.7,5.22
2107,670.0,11.2,0.69,5.19
2108,680.0,9.99,0.68,4.58
2109,670.0,10.84,0.65,4.73
2110,710.0,13.0,0.69,6.31
2111,671.0,10.48,0.67,4.71
2112,695.0,10.78,0.68,5.06
2113,769.0,13.7,0.59,6.24
2114,692.0,16.3,0.68,7.67
2115,690.0,9.5,0.75,4.9
2118,572.0,6.11,0.585,2.05
2119,587.0,7.89,0.722,3.34
2121,780.0,16.86,0.69,9.02
2122,780.0,15.54,0.62,7.6
2127,811.0,18.79,0.7331,11.18
2128,650.0,8.2,0.85,4.52
2129,640.0,9.21,0.75,4.4
2130,700.0,9.17,0.78,4.99
2131,582.0,10.6,0.68,4.19
2132,580.0,7.3,0.62,2.6
2133,900.0,13.5,0.68,8.26
2137,741.0,13.11,0.65,6.37
2138,662.0,9.31,0.65,4.03
2139,655.0,9.01,0.68,4.01
2140,721.0,14.51,0.65,6.78
2141,685.0,17.61,0.59,7.12
2153,765.0,11.85,0.69,6.25
2155,620.0,7.38,0.74,3.38
2156,730.0,4.82,0.74,2.6
2157,190.0,0.65,0.52,0.063
2158,240.0,1.71,0.61,0.25
2159,610.0,10.5,0.68,4.4
2160,752.0,10.46,0.785,6.21
2161,742.0,12.79,0.7467,7.09
2162,694.0,14.38,0.7429,7.4
2170,568.0,2.4,0.75,10.4
2177,790.0,8.7,0.74,5.05
2178,500.0,7.53,0.63,2.38
2180,694.0,7.44,0.697,3.59
2181,704.0,8.61,0.717,4.35
2182,704.0,7.69,0.701,3.79
2185,590.0,10.1,0.71,4.2
2187,736.0,5.81,0.706,3.01
2188,725.0,7.54,0.698,3.81
2190,685.0,4.68,0.7,2.24
2191,729.0,5.09,0.711,2.64
2192,580.0,3.15,0.632,1.15
2194,630.0,8.6,0.75,4.11
2197,530.0,6.26,0.61,2.02
2198,640.0,4.96,0.72,2.28
2199,680.0,9.99,0.71,4.83
2200,750.0,11.36,0.68,5.81
2201,708.2,12.03,0.65,5.52
2202,738.1,14.01,0.66,6.81
2203,796.0,10.91,0.74,6.36
2205,828.0,14.11,0.74,8.65
2208,537.0,15.49,0.64,5.31
2210,640.0,6.5,0.52,2.2
2211,600.0,7.9,0.72,3.4
2212,640.0,7.6,0.68,3.3
2213,440.0,1.2,0.54,0.3
2217,750.0,11.01,0.71,5.81
2221,670.0,14.21,0.64,6.14
2224,625.0,2.59,0.53,0.86
2227,532.0,2.31,0.43,0.53
2228,664.0,10.79,0.691,4.95
2229,590.0,9.69,0.63,3.62
2231,760.0,15.6,0.59,6.3
2232,827.0,9.43,72.8,5.68
2233,840.0,7.56,68.5,4.35
2234,877.0,9.84,74.3,6.42
2235,850.0,6.08,76.0,3.93
2236,875.0,6.67,77.0,4.48
2237,755.0,3.45,52.4,1.35
2238,638.0,11.68,0.696,5.15
2241,558.0,13.3,0.47,4.1
2242,220.0,8.6,0.307,0.58
2243,670.0,15.23,0.758,7.69
2244,640.0,12.72,0.767,6.23
2245,744.0,9.2,0.7559,5.18
2246,653.0,14.7,0.7417,7.12
2247,497.3,2.46,0.37,0.46
2250,10900.0,16.24,0.66,7.29
2253,9680.0,16.41,0.6,6.17
2254,710.0,17.83,0.65,8.2
2256,363.0,1.23,0.53,0.24
2258,660.0,10.56,0.774,5.42
2259,880.0,14.5,0.68,8.67
2260,669.5,11.51,0.7314,5.67
2261,731.8,13.26,0.723,7.0
2262,625.0,6.85,0.7,2.98
2263,565.0,11.71,0.71,4.71
2266,740.0,8.62,0.71,4.55
2267,770.0,9.69,0.7,5.15
2270,720.0,8.02,0.69,3.97
2272,740.0,8.8,0.65,4.24
2273,690.0,7.88,0.7,3.83
2274,653.0,14.5,0.742,7.1
2275,678.0,16.0,0.732,8.0
2277,609.0,6.4,0.717,2.8
2278,555.0,5.06,0.709,1.99
2280,627.0,6.89,0.715,3.09
2281,618.0,2.85,0.724,1.3
2282,593.0,1.02,0.78,0.77
2283,637.0,6.81,0.732,3.23
2284,600.0,7.61,0.662,3.08
2285,515.0,0.72,0.731,0.27
2286,584.0,0.98,0.771,0.45
2287,670.0,11.43,0.62,4.7
2288,700.0,14.39,0.66,6.65
2289,670.0,5.88,0.71,2.79
2290,670.0,6.6,0.7,3.11
2293,750.0,9.78,0.69,5.11
2294,650.0,6.68,0.71,3.08
2295,630.0,6.15,0.74,2.85
2297,584.0,12.7,0.605,4.49
2299,642.0,14.5,0.586,5.46
2300,628.0,12.06,0.65,5.0
2303,707.0,18.55,0.67,9.05
2309,748.0,5.23,0.7,8.59
2314,723.0,10.3,0.517,3.85
2315,722.0,11.2,0.571,4.62
2316,750.0,10.91,0.74,6.04
2318,720.0,8.16,0.72,4.23
2319,830.0,16.16,0.7209,9.69
2320,773.0,14.74,0.7186,8.2
2321,707.0,8.67,0.7045,4.32
2322,735.0,13.4,0.66,6.53
2324,580.0,9.2,0.65,3.47
2328,620.0,12.22,0.69,5.19
2330,764.0,11.73,0.54,4.81
2332,721.0,9.82,0.67,4.57
2334,774.0,14.21,0.65,6.69
2336,743.0,11.54,0.7,6.11
2337,731.0,10.65,0.6818,5.31
2338,758.0,9.4,0.6645,4.7
2339,770.0,12.41,0.5719,5.44
2340,698.0,12.79,0.66,5.9
2341,557.0,13.95,0.61,4.76
2344,653.0,17.85,0.64,7.5
2349,663.0,17.19,0.69,7.81
2360,667.0,13.29,0.67,5.94
2366,661.0,14.49,0.723,6.94
2367,751.0,17.05,0.706,9.02
2368,809.0,14.0,0.7271,8.24
2370,767.0,15.11,0.707,8.19
2371,731.0,12.22,0.745,6.67
2372,670.0,17.82,0.67,7.88
2373,660.0,14.33,0.66,6.35
2374,680.0,13.48,0.68,6.14
2380,722.0,10.0,0.66,4.8
2381,687.0,10.9,0.65,4.9
2382,708.0,11.7,0.66,5.4
2383,641.0,10.9,0.725,5.05
2386,662.0,9.65,0.706,4.51
2389,690.0,5.99,0.69,2.9
2391,660.0,10.9,0.69,4.99
2395,805.0,13.34,0.69,7.41
2398,810.0,14.33,0.7,8.11
2400,690.0,10.5,0.73,5.34
2401,730.0,13.26,0.71,6.89
2402,700.0,14.26,0.7,7.02
2403,600.0,13.47,0.59,4.77
2404,570.0,14.2,0.6,4.79
2405,610.0,18.14,0.56,6.16
2406,640.0,16.79,0.58,6.18
2407,580.0,12.93,0.64,4.8
2408,600.0,13.54,0.64,5.25
2409,670.0,16.48,0.64,6.9
2410,620.0,13.4,0.62,5.7
2411,630.0,16.0,0.63,6.15
2413,410.0,8.8,0.57,2.1
2417,430.0,9.0,0.54,2.1
2418,658.0,12.7,0.6,4.98
2419,638.0,13.3,0.63,5.29
2420,678.0,10.1,0.61,4.22
2421,646.0,12.5,0.62,4.97
2422,753.0,11.2,0.725,6.11
2424,744.0,11.1,0.719,5.94
2425,710.0,12.27,0.695,6.05
2427,727.0,11.46,0.705,5.88
2428,672.0,9.63,0.719,4.65
2429,657.0,12.43,0.614,5.01
2430,650.0,10.6,0.71,4.9
2431,548.0,2.37,0.7,0.9
2433,547.0,4.31,0.692,1.63
2434,617.0,5.48,0.73,2.47
2435,634.0,8.27,0.72,3.78
2436,645.0,8.82,0.72,4.09
2443,770.0,10.04,0.73,5.65
2444,780.0,9.12,0.73,5.19
2445,925.0,15.01,0.69,9.58
2447,480.0,13.7,0.5,3.3
2450,370.0,3.3,0.52,0.6
2451,682.0,7.83,0.71,3.79
2452,668.0,10.88,0.61,4.41
2453,710.0,9.7,0.66,4.54
2454,600.0,4.29,0.67,1.75
2455,510.0,2.98,0.65,0.99
2456,570.0,7.6,0.62,2.7
2457,500.0,5.19,0.55,1.42
2460,670.0,2.8,0.62,1.4
2461,518.0,1.1,0.51,0.6
2462,712.0,3.5,0.57,1.7
2463,534.0,2.6,0.41,0.7
2464,750.0,8.0,0.55,3.9
2465,576.0,3.0,0.54,1.1
2466,920.0,4.26,0.98,3.83
2468,580.0,12.08,0.74,5.2
2469,680.0,9.4,0.85,5.43
2470,633.0,7.51,0.88,4.16
2471,550.0,9.2,0.75,3.79
2472,600.0,0.65,0.78,0.3
2475,440.0,8.9,0.52,2.0
2476,660.0,12.9,0.71,6.1
2477,650.0,13.6,0.71,6.3
2478,685.0,16.59,0.65,7.38
2479,635.0,16.95,0.66,7.1
2480,620.0,17.3,0.63,6.75
2484,612.0,12.68,0.73,5.7
2485,503.0,3.65,0.69,1.3
2486,550.0,3.71,0.75,1.53
2487,490.0,1.37,0.66,0.44
2488,510.0,2.63,0.75,1.0
2489,510.0,1.09,0.72,0.4
2491,770.0,10.07,0.74,5.8
2492,900.0,10.72,0.73,7.1
2493,790.0,10.68,0.75,6.3
2494,860.0,13.26,0.75,8.6
2495,810.0,12.24,0.77,7.7
2496,610.0,9.8,0.68,4.07
2497,852.0,14.8,0.66,8.37
2498,821.0,14.3,0.7,8.22
2499,818.0,14.5,0.69,8.18
2504,876.0,14.1,0.78,9.8
2508,582.0,13.16,0.73,5.56
2512,803.0,15.76,0.712,9.0
2525,550.0,5.22,0.66,1.88
2528,580.0,6.86,0.63,2.51
2530,885.0,15.2,0.68,9.22
2534,887.0,8.3,0.75,11.1
2537,610.0,8.31,0.66,3.34
2538,728.0,12.61,0.667,6.12
2539,695.0,13.22,0.683,6.28
2540,786.0,13.44,0.675,7.13
2542,737.0,18.3,0.729,9.83
2544,740.0,17.6,0.71,9.2
2546,731.0,19.8,0.72,10.4
2548,715.0,18.3,0.686,9.0
2552,122.0,2.18,0.346,0.092
2553,131.0,2.05,0.324,0.087
2554,132.0,2.31,0.331,0.101
2556,97.0,1.04,0.37,0.037
2557,90.0,1.74,0.38,0.06
2558,755.0,14.83,0.72,8.1
2559,756.0,13.21,0.75,7.5
2560,752.0,12.0,0.73,6.6
2561,705.0,10.27,0.73,5.3
2562,694.0,9.69,0.73,4.9
2567,682.0,7.01,0.69,3.3
2568,708.0,8.19,0.67,3.9
2569,710.0,12.11,0.62,5.33
2570,740.0,14.42,0.62,6.61
2571,740.0,14.71,0.63,6.86
2572,520.0,2.5,0.78,1.0
2573,580.0,3.72,0.66,1.43
2574,630.0,9.25,0.61,3.56
2575,620.0,7.92,0.68,3.34
2576,450.0,1.34,0.76,0.46
2577,105.0,1.59,0.359,0.06
2578,115.0,1.39,0.363,0.058
2579,113.0,1.38,0.34,0.053
2580,125.0,2.25,0.331,0.093
2583,420.0,0.96,0.55,0.22
2584,560.0,5.83,0.65,2.12
2585,610.0,10.29,0.65,4.08
2587,630.0,8.36,0.69,3.58
2589,560.0,8.1,0.69,3.1
2590,668.0,9.8,0.76,5.0
2591,670.0,10.8,0.74,5.4
2592,696.0,14.7,0.76,8.0
2593,456.0,4.3,0.72,1.5
2594,557.0,7.3,0.76,3.2
2595,498.0,7.4,0.73,2.8
2596,376.0,0.6,0.72,0.2
2597,579.0,13.39,0.71,5.5
2598,344.0,0.7,0.7,0.2
2600,500.0,2.66,0.64,0.86
2602,579.0,9.29,0.64,3.45
2604,751.0,10.0,0.586,4.38
2608,632.0,6.65,0.738,3.1
2609,699.0,12.89,0.696,6.27
2610,681.0,14.5,0.61,6.02
2611,635.0,14.01,0.6,5.34
2612,663.0,14.67,0.63,6.12
2614,642.0,15.14,0.62,6.01
2623,640.0,16.82,0.65,6.95
2624,650.0,17.59,0.68,7.87
2625,660.0,14.73,0.68,6.67
2626,610.0,12.92,0.65,5.1
2627,764.0,16.2,0.45,8.02
2628,791.0,5.94,0.67,4.51
2629,801.0,5.85,0.59,3.97
2630,774.0,14.19,0.45,6.8
2631,745.0,12.21,0.59,7.63
2632,731.0,7.87,0.7,5.8
2635,630.0,17.55,0.68,7.5
2639,710.0,9.6,0.69,4.6
2640,480.0,14.9,0.48,3.4
2641,680.0,12.5,0.69,5.8
2642,810.0,7.0,0.64,3.6
2643,592.0,14.64,0.692,5.85
2647,670.0,7.33,0.71,3.49
2649,670.0,7.35,0.71,3.5
2655,670.0,9.31,0.7,4.37
2659,660.0,10.6,0.65,4.55
2661,620.0,11.11,0.72,4.97
2663,630.0,8.9,0.67,3.75
2664,811.0,8.95,0.32,3.22
2665,757.0,7.87,0.67,5.7
2666,540.0,1.34,0.5,0.36
2667,510.0,0.8,0.48,0.19
2668,457.0,6.17,0.5,1.41
2669,650.0,10.3,0.5,3.35
2670,95.0,1.48,0.36,0.05
2671,97.0,1.6,0.38,0.06
2672,109.0,3.7,0.35,0.14
2673,95.0,1.58,0.35,0.05
2674,106.0,5.87,0.31,0.2
2675,653.0,10.8,0.672,4.7
2676,662.0,12.57,0.663,5.5
2677,655.0,15.14,0.64,6.4
2678,563.0,6.37,0.658,2.4
2679,630.0,10.26,0.659,4.3
2684,705.0,16.96,0.64,7.55
2686,795.0,18.42,0.7473,10.95
2688,879.0,18.16,0.7675,12.25
2689,878.0,12.02,0.73,7.68
2690,763.0,12.93,0.69,6.82
2691,827.0,16.27,0.69,9.24
2692,615.0,5.1,0.68,2.12
2693,548.0,8.13,0.69,3.09
2695,641.3,2.52,0.791,8.9
2697,807.0,16.07,0.744,9.63
2698,680.0,6.13,0.73,3.07
2701,739.0,11.7,0.653,5.65
2703,692.0,12.3,0.639,5.44
2704,728.0,11.5,0.626,5.24
2706,690.0,17.7,0.66,8.06
2707,670.0,16.9,0.66,7.47
2708,620.0,15.8,0.64,6.27
2709,650.0,15.6,0.65,6.59
2710,670.0,16.0,0.67,7.18
2717,612.0,10.77,0.74,4.9
2718,644.0,16.23,0.726,7.58
2720,570.0,6.8,0.69,2.7
2721,530.0,3.4,0.68,1.2
2722,610.0,12.5,0.62,4.8
2723,550.0,7.5,0.69,2.8
2724,788.0,15.79,0.57,7.09
2725,784.0,16.45,0.61,7.87
2726,773.0,15.57,0.54,6.5
2727,605.0,13.1,0.562,4.9
2737,610.0,11.5,0.67,4.8
2738,610.0,10.4,0.7,4.4
2740,480.0,2.1,0.69,0.7
2741,560.0,11.6,0.66,4.5
2742,550.0,8.6,0.67,3.2
2743,630.0,13.3,0.64,5.4
2754,774.0,5.67,0.656,5.85
2757,870.0,5.8,0.785,7.64
2767,694.0,13.68,0.73,6.96
2768,705.0,13.62,0.74,7.18
2771,650.0,6.62,0.62,2.67
2775,580.0,8.55,0.63,3.14
2785,893.0,8.1,0.74,10.6
2790,661.0,15.99,0.65,6.8
2793,714.0,10.5,0.567,4.24
2794,703.0,10.5,0.575,4.23
2795,695.0,6.5,0.657,2.96
2797,560.0,7.9,0.7,3.1
2798,640.0,9.2,0.66,3.9
2799,679.0,12.89,0.73,6.43
2801,620.0,9.8,0.6,3.63
2803,690.0,12.17,0.73,6.22
2804,730.0,15.81,0.72,8.34
2805,560.0,11.19,0.62,3.92
2806,620.0,10.61,0.66,4.36
2807,620.0,11.16,0.6,4.12
2808,590.0,10.28,0.67,4.09
2809,650.0,10.36,0.65,4.35
2810,640.0,9.83,0.66,4.15
2813,710.0,12.3,0.69,6.1
2814,700.0,10.7,0.69,5.2
2815,630.0,8.2,0.73,3.76
2816,630.0,4.4,0.71,2.0
2817,610.0,10.2,0.66,4.1
2820,674.0,14.0,0.64,6.05
2821,663.0,15.8,0.62,6.54
2822,813.0,11.0,0.701,6.29
2823,700.0,4.23,0.75,2.22
2824,695.0,7.1,0.73,3.6
2825,707.0,11.9,0.644,5.41
2829,843.0,10.4,0.658,5.74
2831,829.0,14.1,0.684,7.99
2832,819.0,14.7,0.695,8.37
2833,817.0,12.9,0.673,7.09
2834,707.0,9.03,0.681,4.35
2835,724.0,9.71,0.684,4.81
2840,690.0,12.45,0.7,6.02
2841,644.0,10.83,0.65,4.55
2842,651.0,11.58,0.68,5.13
2850,680.0,10.0,0.74,5.1
2851,543.0,4.43,0.68,1.65
2853,593.0,2.73,0.67,1.08
2855,568.0,7.38,0.65,2.72
2857,562.0,7.77,0.62,2.68
2871,701.0,12.7,0.66,5.87
2873,660.0,7.95,0.64,3.38
2875,630.0,10.63,0.64,4.31
2876,620.0,5.12,0.61,1.92
2877,590.0,4.78,0.57,1.6
2878,630.0,5.0,0.67,2.1
2879,620.0,12.11,0.61,4.53
2880,560.0,9.55,0.64,3.43
2881,630.0,9.44,0.62,3.69
2882,509.94,1.24,0.476,0.35
2883,640.89,4.24,0.369,1.18
2884,680.0,17.43,0.71,8.42
2885,626.0,15.56,0.7,6.88
2888,644.0,8.15,0.685,3.6
2889,650.0,7.82,0.66,3.4
2892,525.0,12.28,0.676,4.36
2896,572.0,13.51,0.651,5.03
2901,797.0,11.9,0.638,6.05
2902,577.46,2.89,0.53,1.04
2903,373.0,6.32,0.608,1.43
2906,510.0,10.89,0.668,3.71
2909,644.0,19.86,0.694,8.85
2910,710.0,18.68,0.707,9.4
2911,568.0,4.63,0.67,1.79
2912,725.0,10.38,0.62,4.58
2913,651.0,10.63,0.64,4.46
2914,632.0,6.43,0.65,2.53
2927,300.0,0.28,0.53,0.046
2931,661.0,17.93,0.74,8.9
2933,696.0,18.0,0.72,9.04
2934,649.0,18.53,0.71,8.49
2936,627.0,15.29,0.72,6.84
2938,639.0,11.63,0.68,5.08
2939,645.0,18.75,0.538,6.51
2940,584.0,17.5,0.538,5.5
2941,628.0,17.38,0.513,5.6
2942,569.0,19.56,0.533,5.93
2943,690.0,6.22,0.7,3.0
2947,700.0,13.8,0.77,7.4
2948,700.0,14.6,0.76,7.8
2949,660.0,15.0,0.74,7.3
2955,620.0,9.35,0.71,4.12
2963,710.0,9.46,0.64,4.31
2964,690.0,10.25,0.61,4.31
2969,672.0,15.0,0.77,7.76
2970,673.0,14.15,0.76,7.23
2971,640.0,7.63,0.72,3.5
2981,635.0,17.8,0.68,7.69
2988,620.0,16.5,0.69,7.05
2991,655.0,14.0,0.68,6.5
2995,520.0,4.5,0.63,1.48
2996,560.0,13.18,0.63,4.68
2997,600.0,15.66,0.65,6.11
2998,600.0,5.39,0.74,2.35
3001,720.0,10.8,0.732,5.7
3003,802.0,6.89,0.75,3.6
3004,936.0,8.0,0.72,3.9
3005,791.0,8.74,0.74,3.7
3008,671.0,13.35,0.693,6.21
3010,709.0,17.84,0.681,8.61
3021,870.0,8.28,0.759,10.93
3023,615.0,13.77,0.705,5.97
3024,672.0,16.91,0.717,8.15
3027,650.0,10.58,0.69,4.72
3029,748.0,10.06,0.68,5.11
3030,622.0,10.0,0.65,4.03
3034,791.0,15.79,0.67,8.38
3038,737.0,15.33,0.755,8.53
3039,591.0,8.6,0.73,3.7
3045,374.0,9.25,0.51,1.77
3051,642.0,13.23,0.711,6.05
3054,582.0,5.89,0.72,2.47
3055,617.0,8.33,0.7,3.6
3056,750.0,12.1,0.64,5.79
3058,762.0,13.0,0.65,6.46
3061,861.0,12.2,0.69,7.25
3063,943.0,13.3,0.7,8.78
3065,845.0,12.7,0.69,7.4
3069,360.0,0.34,0.462,0.06
3071,310.0,0.4,0.532,0.07
3072,530.0,3.52,0.534,1.04
3073,580.0,3.94,0.525,1.25
3075,640.0,5.92,0.526,2.08
3076,676.0,14.12,0.7,6.71
3078,653.0,19.96,0.694,9.03
3080,594.0,2.9,0.68,1.18
3081,664.0,5.42,0.75,2.7
3083,550.0,1.26,0.66,0.46
3091,500.0,7.77,0.59,2.29
3092,470.0,3.51,0.63,1.03
3095,448.0,10.5,0.58,3.5
3096,760.0,3.4,0.71,1.92
3101,543.0,9.2,0.72,3.6
3103,612.0,15.1,0.72,6.7
3114,604.0,17.76,0.57,6.1
3115,559.0,18.07,0.55,5.5
3116,589.0,14.8,0.59,5.11
3119,770.0,16.1,0.66,8.18
3121,474.0,8.9,0.59,3.1
3122,465.0,6.1,0.55,2.0
3123,452.0,7.6,0.59,2.6
3128,723.0,14.8,0.66,7.06
3132,743.0,15.0,0.66,7.36
3136,775.0,15.8,0.66,8.08
3140,473.0,13.39,0.53,3.5
3141,480.0,13.64,0.57,3.75
3144,520.0,13.9,0.57,5.2
3145,499.0,12.7,0.56,4.4
3148,600.0,12.9,0.68,5.3
3150,650.0,17.7,0.76,8.7
3151,634.0,18.63,0.63,7.41
3154,660.0,5.55,0.71,2.6
3155,690.0,8.09,0.68,3.78
3157,630.0,8.15,0.62,3.19
3158,590.0,6.69,0.53,2.08
3159,660.0,7.42,0.68,3.36
3162,620.0,7.33,0.63,2.83
3165,540.0,6.85,0.64,2.35
3167,620.0,5.85,0.68,2.45
3169,590.0,4.4,0.66,1.71
3170,560.0,3.67,0.67,1.36
3171,0.642,14.8,0.71,6.74
3173,0.49,7.7,0.47,1.87
3175,0.458,4.87,0.519,1.22
3186,0.383,4.48,0.52,2.6
3191,442.0,14.95,0.669,4.8
