,VOC,JSC,FF,PCE
862,565.0,6.0,0.648,2.2
863,535.0,8.28,0.657,2.91
864,520.0,9.8,0.633,3.23
865,657.0,10.67,0.68,4.8
866,1036.0,15.6,0.774,12.5
871,814.0,15.8,0.753,9.68
872,821.0,15.1,0.752,9.32
875,6.43,660.0,0.61,2.56
876,12.8,450.0,0.59,3.39
877,665.0,11.04,0.72,5.27
878,665.0,11.3,0.69,5.21
879,649.0,13.14,0.68,5.83
880,710.0,11.46,0.68,6.16
881,740.0,11.67,0.68,6.33
882,720.0,11.47,0.67,5.87
883,580.0,2.09,0.62,0.75
884,600.0,5.84,0.62,2.17
885,660.0,8.91,0.55,3.17
886,680.0,10.41,0.6,4.27
887,620.0,7.31,0.57,2.58
888,353.0,7.53,0.57,1.52
889,314.0,3.47,0.61,0.66
890,844.0,10.18,0.776,6.7
891,669.0,13.76,0.691,6.36
892,660.0,6.4,0.71,3.0
893,630.0,6.24,0.65,2.57
894,120.0,0.12,0.42,0.0058
895,660.0,8.4,0.57,3.18
896,660.0,10.52,0.69,4.78
897,620.0,9.74,0.71,4.33
898,660.0,7.21,0.71,3.38
899,696.0,6.3,0.7,3.2
901,335.0,1.08,0.53,0.19
903,570.0,7.6,0.63,2.7
904,580.0,8.1,0.68,3.2
905,660.0,9.4,0.65,4.0
906,756.0,9.54,0.62,4.45
909,617.0,6.24,0.702,2.7
912,642.0,5.96,0.705,2.7
913,523.0,7.03,0.605,2.23
915,545.0,3.6,0.71,1.39
916,636.0,7.37,0.61,2.86
917,545.0,8.8,0.71,3.41
919,689.0,5.71,0.65,3.01
920,597.0,3.88,0.63,1.73
921,614.0,1.5,0.58,0.63
922,565.1,4.62,0.745,1.95
925,488.7,2.45,0.69,0.83
927,381.8,1.13,0.693,0.3
929,370.7,1.9,0.656,0.46
930,598.3,4.53,0.751,2.03
931,523.2,1.61,0.731,0.61
932,720.0,12.86,0.72,6.65
933,560.0,7.46,0.6,2.49
934,319.0,0.68,0.51,0.11
935,590.0,15.3,0.44,4.7
937,640.0,9.2,0.66,4.1
938,480.0,4.6,0.62,1.37
939,542.0,5.88,0.64,2.04
940,304.0,0.47,0.49,0.07
941,485.0,5.28,0.62,1.51
942,299.0,0.4,0.48,0.06
943,416.0,1.51,0.5,0.31
944,523.0,4.76,0.59,1.47
953,610.0,7.5,0.707,3.23
954,630.0,10.5,0.677,4.49
955,516.0,1.99,0.61,0.62
956,552.0,2.42,0.66,0.89
957,445.0,0.56,0.58,0.14
958,516.0,3.96,0.64,1.31
959,564.0,5.65,0.62,1.97
961,530.0,2.46,0.55,0.72
962,370.0,0.14,0.5,0.03
963,380.0,0.15,0.51,0.03
965,390.0,0.18,0.53,0.04
967,527.0,6.6,0.589,2.1
969,535.0,8.2,0.624,2.7
972,486.0,3.6,0.632,1.1
976,543.0,6.99,0.62,2.35
978,521.0,6.39,0.57,1.91
980,514.0,6.87,0.66,2.34
985,600.0,11.2,0.67,4.49
987,597.0,12.0,0.63,4.53
988,537.0,10.0,0.64,3.44
991,522.0,8.84,0.63,2.92
993,580.0,9.27,0.67,3.61
995,568.0,8.54,0.67,3.27
997,620.0,6.5,0.7,2.8
998,385.0,5.76,0.55,1.23
999,657.0,11.94,0.66,5.16
1000,665.0,11.04,0.72,5.27
1002,683.0,17.87,0.66,8.01
1003,592.0,14.64,0.68,5.85
